textID,text,requesta_question_type,requesta_question,requesta_answer
anthropology_1_2,"Biological anthropology focuses on the earliest processes in the biological and sociocultural development of human beings as well as the biological diversity of contemporary humans. In other words, biological anthropologists study the origins, evolution, and diversity of our species. Some biological anthropologists use genetic data to explore the global distribution of human traits such as blood type or the ability to digest dairy products. Some study fossils to learn how humans have evolved and migrated. Some study our closest animal relatives, the primates, in order to understand what biological and social traits humans share with primates and explore what makes humans unique in the animal world.
The Dutch primatologist Carel van Schaik spent six years observing orangutans in Sumatra, discovering that these reclusive animals are actually much more social than previously thought (2004). Moreover, van Schaik observed that orangutans use a wide variety of tools and pass down skills to their young. By studying these primates, van Schaik and other biological anthropologists gain insight into the origins of human intelligence, technology, and culture. These researchers also warn that habitat loss, illegal hunting, and the exotic pet trade threaten the survival of our fascinating primate cousins.
Biological anthropologists frequently combine research among primates with evidence from the human fossil record, genetics, neuroscience, and geography to answer questions about human evolution. Sometimes their insights are startling and unexpected. Anthropologist Lynne Isbell argues that snakes have played a key role in the evolution of human biology, particularly our keen sense of sight and our ability to communicate through language (Isabell, 2009). Isbell’s “snake detection theory” posits that primates developed specialized visual perception as well as the ability to communicate what they were seeing in order to alert others to the threat of venomous snakes in their environment. She points to the near-universal fear of snakes shared by both humans and primates and has documented the prevalence of snake phobia in human myth and folklore. Isbell’s research highlights how human-animal relations are central to humanity, shaping both biology and culture.
Not all biological anthropologists study primates. Many biological anthropologists study fossilized remains in order to chart the evolution of early hominins, the evolutionary ancestors of modern humans. In this field of study, anthropologists consider the emergence and migration of the various species in the hominin family tree as well as the conditions that promoted certain biological and cultural traits. Some biological anthropologists examine the genetic makeup of contemporary humans in order to learn how certain genes and traits are distributed in human populations across different environments. Others examine human genetics looking for clues about the relationships between early modern humans and other hominins, such as Neanderthals.",fact,"Q1: Which combination of research approaches is used in biological anthropology to investigate human evolution?
  
A) Fossil record, genetics, linguistics, archaeology, and geography.
  
B) Fossil record, genetic data, primate studies, neuroscience, and geography.
  
C) Genetics, primate studies, archaeology, ecology, and linguistics.
  
D) Neuroscience, geography, cultural ethnography, economics, and political science.","Q1: B) Fossil record, genetic data, primate studies, neuroscience, and geography."
anthropology_1_2,"Biological anthropology focuses on the earliest processes in the biological and sociocultural development of human beings as well as the biological diversity of contemporary humans. In other words, biological anthropologists study the origins, evolution, and diversity of our species. Some biological anthropologists use genetic data to explore the global distribution of human traits such as blood type or the ability to digest dairy products. Some study fossils to learn how humans have evolved and migrated. Some study our closest animal relatives, the primates, in order to understand what biological and social traits humans share with primates and explore what makes humans unique in the animal world.
The Dutch primatologist Carel van Schaik spent six years observing orangutans in Sumatra, discovering that these reclusive animals are actually much more social than previously thought (2004). Moreover, van Schaik observed that orangutans use a wide variety of tools and pass down skills to their young. By studying these primates, van Schaik and other biological anthropologists gain insight into the origins of human intelligence, technology, and culture. These researchers also warn that habitat loss, illegal hunting, and the exotic pet trade threaten the survival of our fascinating primate cousins.
Biological anthropologists frequently combine research among primates with evidence from the human fossil record, genetics, neuroscience, and geography to answer questions about human evolution. Sometimes their insights are startling and unexpected. Anthropologist Lynne Isbell argues that snakes have played a key role in the evolution of human biology, particularly our keen sense of sight and our ability to communicate through language (Isabell, 2009). Isbell’s “snake detection theory” posits that primates developed specialized visual perception as well as the ability to communicate what they were seeing in order to alert others to the threat of venomous snakes in their environment. She points to the near-universal fear of snakes shared by both humans and primates and has documented the prevalence of snake phobia in human myth and folklore. Isbell’s research highlights how human-animal relations are central to humanity, shaping both biology and culture.
Not all biological anthropologists study primates. Many biological anthropologists study fossilized remains in order to chart the evolution of early hominins, the evolutionary ancestors of modern humans. In this field of study, anthropologists consider the emergence and migration of the various species in the hominin family tree as well as the conditions that promoted certain biological and cultural traits. Some biological anthropologists examine the genetic makeup of contemporary humans in order to learn how certain genes and traits are distributed in human populations across different environments. Others examine human genetics looking for clues about the relationships between early modern humans and other hominins, such as Neanderthals.",fact,"Q2: What adaptations does Isbell’s snake detection theory propose primates evolved in response to snake threats?
  
A) Greater manual skill for tool use to capture snakes.
  
B) Heightened smell and nocturnal habits to avoid predators.
  
C) Larger teeth and threat displays to deter reptile attacks.
  
D) Refined vision and communication to warn of venomous snakes.",Q2: D) Refined vision and communication to warn of venomous snakes.
anthropology_1_2,"Biological anthropology focuses on the earliest processes in the biological and sociocultural development of human beings as well as the biological diversity of contemporary humans. In other words, biological anthropologists study the origins, evolution, and diversity of our species. Some biological anthropologists use genetic data to explore the global distribution of human traits such as blood type or the ability to digest dairy products. Some study fossils to learn how humans have evolved and migrated. Some study our closest animal relatives, the primates, in order to understand what biological and social traits humans share with primates and explore what makes humans unique in the animal world.
The Dutch primatologist Carel van Schaik spent six years observing orangutans in Sumatra, discovering that these reclusive animals are actually much more social than previously thought (2004). Moreover, van Schaik observed that orangutans use a wide variety of tools and pass down skills to their young. By studying these primates, van Schaik and other biological anthropologists gain insight into the origins of human intelligence, technology, and culture. These researchers also warn that habitat loss, illegal hunting, and the exotic pet trade threaten the survival of our fascinating primate cousins.
Biological anthropologists frequently combine research among primates with evidence from the human fossil record, genetics, neuroscience, and geography to answer questions about human evolution. Sometimes their insights are startling and unexpected. Anthropologist Lynne Isbell argues that snakes have played a key role in the evolution of human biology, particularly our keen sense of sight and our ability to communicate through language (Isabell, 2009). Isbell’s “snake detection theory” posits that primates developed specialized visual perception as well as the ability to communicate what they were seeing in order to alert others to the threat of venomous snakes in their environment. She points to the near-universal fear of snakes shared by both humans and primates and has documented the prevalence of snake phobia in human myth and folklore. Isbell’s research highlights how human-animal relations are central to humanity, shaping both biology and culture.
Not all biological anthropologists study primates. Many biological anthropologists study fossilized remains in order to chart the evolution of early hominins, the evolutionary ancestors of modern humans. In this field of study, anthropologists consider the emergence and migration of the various species in the hominin family tree as well as the conditions that promoted certain biological and cultural traits. Some biological anthropologists examine the genetic makeup of contemporary humans in order to learn how certain genes and traits are distributed in human populations across different environments. Others examine human genetics looking for clues about the relationships between early modern humans and other hominins, such as Neanderthals.",inference,"Q3: Which inference is best supported by van Schaik’s findings that orangutans use tools and transmit skills to their young?
  
A) Cultural learning and problem-solving likely reflect capacities that predate humans and extend across primates.
  
B) Human cultural distinctiveness arises chiefly from language shaped by ancestral snake-related threats.
  
C) Orangutan societies exhibit cognition and traditions essentially on par with those of humans.
  
D) Their tool behaviors are probably products of captivity or training rather than natural development.",Q3: A) Cultural learning and problem-solving likely reflect capacities that predate humans and extend across primates.
anthropology_1_2,"Biological anthropology focuses on the earliest processes in the biological and sociocultural development of human beings as well as the biological diversity of contemporary humans. In other words, biological anthropologists study the origins, evolution, and diversity of our species. Some biological anthropologists use genetic data to explore the global distribution of human traits such as blood type or the ability to digest dairy products. Some study fossils to learn how humans have evolved and migrated. Some study our closest animal relatives, the primates, in order to understand what biological and social traits humans share with primates and explore what makes humans unique in the animal world.
The Dutch primatologist Carel van Schaik spent six years observing orangutans in Sumatra, discovering that these reclusive animals are actually much more social than previously thought (2004). Moreover, van Schaik observed that orangutans use a wide variety of tools and pass down skills to their young. By studying these primates, van Schaik and other biological anthropologists gain insight into the origins of human intelligence, technology, and culture. These researchers also warn that habitat loss, illegal hunting, and the exotic pet trade threaten the survival of our fascinating primate cousins.
Biological anthropologists frequently combine research among primates with evidence from the human fossil record, genetics, neuroscience, and geography to answer questions about human evolution. Sometimes their insights are startling and unexpected. Anthropologist Lynne Isbell argues that snakes have played a key role in the evolution of human biology, particularly our keen sense of sight and our ability to communicate through language (Isabell, 2009). Isbell’s “snake detection theory” posits that primates developed specialized visual perception as well as the ability to communicate what they were seeing in order to alert others to the threat of venomous snakes in their environment. She points to the near-universal fear of snakes shared by both humans and primates and has documented the prevalence of snake phobia in human myth and folklore. Isbell’s research highlights how human-animal relations are central to humanity, shaping both biology and culture.
Not all biological anthropologists study primates. Many biological anthropologists study fossilized remains in order to chart the evolution of early hominins, the evolutionary ancestors of modern humans. In this field of study, anthropologists consider the emergence and migration of the various species in the hominin family tree as well as the conditions that promoted certain biological and cultural traits. Some biological anthropologists examine the genetic makeup of contemporary humans in order to learn how certain genes and traits are distributed in human populations across different environments. Others examine human genetics looking for clues about the relationships between early modern humans and other hominins, such as Neanderthals.",inference,"Q4: If the pressures of habitat loss, illegal hunting, and the pet trade persist, what is the most likely impact on research into human evolution?
A) A pivot to fossil evidence that would largely supplant insights from observing living species.
B) Diminished access to living comparative models, constraining inferences about human origins.
C) Expanded testing of the snake-detection theory, compensating for the loss of field observations of apes.
D) Greater emphasis on genetic surveys of contemporary populations, yielding similar clarity about early evolution.","Q4: B) Diminished access to living comparative models, constraining inferences about human origins"
anthropology_1_2,"Biological anthropology focuses on the earliest processes in the biological and sociocultural development of human beings as well as the biological diversity of contemporary humans. In other words, biological anthropologists study the origins, evolution, and diversity of our species. Some biological anthropologists use genetic data to explore the global distribution of human traits such as blood type or the ability to digest dairy products. Some study fossils to learn how humans have evolved and migrated. Some study our closest animal relatives, the primates, in order to understand what biological and social traits humans share with primates and explore what makes humans unique in the animal world.
The Dutch primatologist Carel van Schaik spent six years observing orangutans in Sumatra, discovering that these reclusive animals are actually much more social than previously thought (2004). Moreover, van Schaik observed that orangutans use a wide variety of tools and pass down skills to their young. By studying these primates, van Schaik and other biological anthropologists gain insight into the origins of human intelligence, technology, and culture. These researchers also warn that habitat loss, illegal hunting, and the exotic pet trade threaten the survival of our fascinating primate cousins.
Biological anthropologists frequently combine research among primates with evidence from the human fossil record, genetics, neuroscience, and geography to answer questions about human evolution. Sometimes their insights are startling and unexpected. Anthropologist Lynne Isbell argues that snakes have played a key role in the evolution of human biology, particularly our keen sense of sight and our ability to communicate through language (Isabell, 2009). Isbell’s “snake detection theory” posits that primates developed specialized visual perception as well as the ability to communicate what they were seeing in order to alert others to the threat of venomous snakes in their environment. She points to the near-universal fear of snakes shared by both humans and primates and has documented the prevalence of snake phobia in human myth and folklore. Isbell’s research highlights how human-animal relations are central to humanity, shaping both biology and culture.
Not all biological anthropologists study primates. Many biological anthropologists study fossilized remains in order to chart the evolution of early hominins, the evolutionary ancestors of modern humans. In this field of study, anthropologists consider the emergence and migration of the various species in the hominin family tree as well as the conditions that promoted certain biological and cultural traits. Some biological anthropologists examine the genetic makeup of contemporary humans in order to learn how certain genes and traits are distributed in human populations across different environments. Others examine human genetics looking for clues about the relationships between early modern humans and other hominins, such as Neanderthals.",main_idea,"Q5: Which statement best summarizes the text?

A) Biological anthropology integrates evidence from primates, fossils, and genetics to explain human origins, evolution, and diversity.

B) Primate research shows orangutans are social, use tools, and pass skills to offspring, revising earlier assumptions.

C) Scientists map hominin emergence and migrations and analyze modern genetics to chart trait distributions among human groups.

D) The snake detection theory links venomous predators to primates’ specialized vision and communication, echoed in fear and folklore.","Q5: A) Biological anthropology integrates evidence from primates, fossils, and genetics to explain human origins, evolution, and diversity."
anthropology_1_3,"As you might guess, linguistic anthropology focuses on language. Linguistic anthropologists view language as a primary means by which humans create their diverse cultures. Language combines biological and social elements. Some linguistic anthropologists study the origins of language, asking how language emerged in our biological evolution and sociocultural development and what aspects of language might have given early hominins an evolutionary advantage. Other linguistic anthropologists are interested in how language shapes our thinking processes and our views of the world. In addition to its cognitive aspects, language is a powerful tool for getting things done. Linguistic anthropologists also study how people use language to form communities and identities, assert power, and resist authority.
Linguistic anthropologists frequently conduct the same kinds of long-term, immersive research that cultural anthropologists do. Christopher Ball spent a year living and traveling with the Wauja, an indigenous group in Brazil (2018). He describes the many routine and ritualized ways of speaking in this community and how each kind of talk generates specific types of social action. “Chief speech” is used by leaders, while “bringing the spirits” is used for healing the sick. Ceremonial language is used for giving people names and for conducting exchanges between different indigenous groups. Ball, like many linguistic anthropologists, also examined public speeches, such as the ones delivered by Wauja leaders to protest a dam on a nearby river. Ball also analyzed the forms of language used by state officials and development workers to marginalize and subordinate indigenous groups such as the Wauja.
Language is central to the way we conceptualize ourselves and our lives. Have you ever been asked to write an essay about yourself, perhaps as part of a school assignment or college application? If so, you might have used different phrases and concepts than if you’d been chatting with a new acquaintance. The purpose and intended audience of our language use shapes the way we represent ourselves and our actions.
Anthropologist Summerson Carr examined an addiction treatment program for homeless women in the midwestern United States, looking at the role of language in the therapeutic process (2011). After observing therapy sessions and self-help meetings, she describes how addiction counselors promote a certain kind of “healthy talk” that conveys deep cultural notions about personhood and responsibility. As patients master this “healthy talk,” they learn to demonstrate progress by performing very scripted ways of speaking about themselves and their addiction.",fact,"Q1: How do linguistic anthropologists characterize language and what do they study about it?
  
A) As a culture-making medium linking biology and society; they study its origins, cognitive effects, and roles in community and identity.
  
B) As a fixed genetic trait shaped by evolution; they focus on inherited grammar modules and uniform language instincts across populations.
  
C) As a message channel for transferring data; they emphasize efficiency, noise reduction, and accuracy rather than social meaning or authority.
  
D) As a neutral code detached from social life; they prioritize cataloging phonemes, morphemes, and prescriptive rules over context and use.","Q1: A) As a culture-making medium linking biology and society; they study its origins, cognitive effects, and roles in community and identity."
anthropology_1_3,"As you might guess, linguistic anthropology focuses on language. Linguistic anthropologists view language as a primary means by which humans create their diverse cultures. Language combines biological and social elements. Some linguistic anthropologists study the origins of language, asking how language emerged in our biological evolution and sociocultural development and what aspects of language might have given early hominins an evolutionary advantage. Other linguistic anthropologists are interested in how language shapes our thinking processes and our views of the world. In addition to its cognitive aspects, language is a powerful tool for getting things done. Linguistic anthropologists also study how people use language to form communities and identities, assert power, and resist authority.
Linguistic anthropologists frequently conduct the same kinds of long-term, immersive research that cultural anthropologists do. Christopher Ball spent a year living and traveling with the Wauja, an indigenous group in Brazil (2018). He describes the many routine and ritualized ways of speaking in this community and how each kind of talk generates specific types of social action. “Chief speech” is used by leaders, while “bringing the spirits” is used for healing the sick. Ceremonial language is used for giving people names and for conducting exchanges between different indigenous groups. Ball, like many linguistic anthropologists, also examined public speeches, such as the ones delivered by Wauja leaders to protest a dam on a nearby river. Ball also analyzed the forms of language used by state officials and development workers to marginalize and subordinate indigenous groups such as the Wauja.
Language is central to the way we conceptualize ourselves and our lives. Have you ever been asked to write an essay about yourself, perhaps as part of a school assignment or college application? If so, you might have used different phrases and concepts than if you’d been chatting with a new acquaintance. The purpose and intended audience of our language use shapes the way we represent ourselves and our actions.
Anthropologist Summerson Carr examined an addiction treatment program for homeless women in the midwestern United States, looking at the role of language in the therapeutic process (2011). After observing therapy sessions and self-help meetings, she describes how addiction counselors promote a certain kind of “healthy talk” that conveys deep cultural notions about personhood and responsibility. As patients master this “healthy talk,” they learn to demonstrate progress by performing very scripted ways of speaking about themselves and their addiction.",fact,"Q2: What social action is associated with “bringing the spirits” in Wauja speech?
  
A) Conducting exchanges between indigenous groups.
  
B) Delivering leaders’ formal addresses.
  
C) Giving people their names.
  
D) Healing the sick.",Q2: D) Healing the sick.
anthropology_1_3,"As you might guess, linguistic anthropology focuses on language. Linguistic anthropologists view language as a primary means by which humans create their diverse cultures. Language combines biological and social elements. Some linguistic anthropologists study the origins of language, asking how language emerged in our biological evolution and sociocultural development and what aspects of language might have given early hominins an evolutionary advantage. Other linguistic anthropologists are interested in how language shapes our thinking processes and our views of the world. In addition to its cognitive aspects, language is a powerful tool for getting things done. Linguistic anthropologists also study how people use language to form communities and identities, assert power, and resist authority.
Linguistic anthropologists frequently conduct the same kinds of long-term, immersive research that cultural anthropologists do. Christopher Ball spent a year living and traveling with the Wauja, an indigenous group in Brazil (2018). He describes the many routine and ritualized ways of speaking in this community and how each kind of talk generates specific types of social action. “Chief speech” is used by leaders, while “bringing the spirits” is used for healing the sick. Ceremonial language is used for giving people names and for conducting exchanges between different indigenous groups. Ball, like many linguistic anthropologists, also examined public speeches, such as the ones delivered by Wauja leaders to protest a dam on a nearby river. Ball also analyzed the forms of language used by state officials and development workers to marginalize and subordinate indigenous groups such as the Wauja.
Language is central to the way we conceptualize ourselves and our lives. Have you ever been asked to write an essay about yourself, perhaps as part of a school assignment or college application? If so, you might have used different phrases and concepts than if you’d been chatting with a new acquaintance. The purpose and intended audience of our language use shapes the way we represent ourselves and our actions.
Anthropologist Summerson Carr examined an addiction treatment program for homeless women in the midwestern United States, looking at the role of language in the therapeutic process (2011). After observing therapy sessions and self-help meetings, she describes how addiction counselors promote a certain kind of “healthy talk” that conveys deep cultural notions about personhood and responsibility. As patients master this “healthy talk,” they learn to demonstrate progress by performing very scripted ways of speaking about themselves and their addiction.",inference,"Q3: What broader conclusion about language’s role in political life is supported by Ball’s findings on Wauja speeches and state discourse?
  
A) It both empowers communities to contest projects and equips officials to enforce hierarchy.
  
B) It mainly preserves ritual traditions and identities rather than shaping who holds influence.
  
C) It mostly mirrors cognitive patterns and has limited impact on collective action.
  
D) It promotes neutral exchanges that ease tensions between communities and institutions.",Q3: A) It both empowers communities to contest projects and equips officials to enforce hierarchy.
anthropology_1_3,"As you might guess, linguistic anthropology focuses on language. Linguistic anthropologists view language as a primary means by which humans create their diverse cultures. Language combines biological and social elements. Some linguistic anthropologists study the origins of language, asking how language emerged in our biological evolution and sociocultural development and what aspects of language might have given early hominins an evolutionary advantage. Other linguistic anthropologists are interested in how language shapes our thinking processes and our views of the world. In addition to its cognitive aspects, language is a powerful tool for getting things done. Linguistic anthropologists also study how people use language to form communities and identities, assert power, and resist authority.
Linguistic anthropologists frequently conduct the same kinds of long-term, immersive research that cultural anthropologists do. Christopher Ball spent a year living and traveling with the Wauja, an indigenous group in Brazil (2018). He describes the many routine and ritualized ways of speaking in this community and how each kind of talk generates specific types of social action. “Chief speech” is used by leaders, while “bringing the spirits” is used for healing the sick. Ceremonial language is used for giving people names and for conducting exchanges between different indigenous groups. Ball, like many linguistic anthropologists, also examined public speeches, such as the ones delivered by Wauja leaders to protest a dam on a nearby river. Ball also analyzed the forms of language used by state officials and development workers to marginalize and subordinate indigenous groups such as the Wauja.
Language is central to the way we conceptualize ourselves and our lives. Have you ever been asked to write an essay about yourself, perhaps as part of a school assignment or college application? If so, you might have used different phrases and concepts than if you’d been chatting with a new acquaintance. The purpose and intended audience of our language use shapes the way we represent ourselves and our actions.
Anthropologist Summerson Carr examined an addiction treatment program for homeless women in the midwestern United States, looking at the role of language in the therapeutic process (2011). After observing therapy sessions and self-help meetings, she describes how addiction counselors promote a certain kind of “healthy talk” that conveys deep cultural notions about personhood and responsibility. As patients master this “healthy talk,” they learn to demonstrate progress by performing very scripted ways of speaking about themselves and their addiction.",inference,"Q4: What is the most reasonable inference about how client progress is validated in a treatment setting that emphasizes scripted “healthy talk”?

A) Mastery of the promoted discourse is taken to produce inner transformation.
B) Progress is determined chiefly by clinical biomarkers rather than spoken accounts.
C) Progress is recognized when clients echo the program’s set phrasing.
D) Staff favor spontaneous, individualized reflections over rehearsed formulations.",Q4: C) Progress is recognized when clients echo the program’s set phrasing.
anthropology_1_3,"As you might guess, linguistic anthropology focuses on language. Linguistic anthropologists view language as a primary means by which humans create their diverse cultures. Language combines biological and social elements. Some linguistic anthropologists study the origins of language, asking how language emerged in our biological evolution and sociocultural development and what aspects of language might have given early hominins an evolutionary advantage. Other linguistic anthropologists are interested in how language shapes our thinking processes and our views of the world. In addition to its cognitive aspects, language is a powerful tool for getting things done. Linguistic anthropologists also study how people use language to form communities and identities, assert power, and resist authority.
Linguistic anthropologists frequently conduct the same kinds of long-term, immersive research that cultural anthropologists do. Christopher Ball spent a year living and traveling with the Wauja, an indigenous group in Brazil (2018). He describes the many routine and ritualized ways of speaking in this community and how each kind of talk generates specific types of social action. “Chief speech” is used by leaders, while “bringing the spirits” is used for healing the sick. Ceremonial language is used for giving people names and for conducting exchanges between different indigenous groups. Ball, like many linguistic anthropologists, also examined public speeches, such as the ones delivered by Wauja leaders to protest a dam on a nearby river. Ball also analyzed the forms of language used by state officials and development workers to marginalize and subordinate indigenous groups such as the Wauja.
Language is central to the way we conceptualize ourselves and our lives. Have you ever been asked to write an essay about yourself, perhaps as part of a school assignment or college application? If so, you might have used different phrases and concepts than if you’d been chatting with a new acquaintance. The purpose and intended audience of our language use shapes the way we represent ourselves and our actions.
Anthropologist Summerson Carr examined an addiction treatment program for homeless women in the midwestern United States, looking at the role of language in the therapeutic process (2011). After observing therapy sessions and self-help meetings, she describes how addiction counselors promote a certain kind of “healthy talk” that conveys deep cultural notions about personhood and responsibility. As patients master this “healthy talk,” they learn to demonstrate progress by performing very scripted ways of speaking about themselves and their addiction.",main_idea,"Q5: Which statement best summarizes the text?
  
A) Counseling programs demonstrate that scripted ""healthy talk"" can treat addiction by reshaping how patients describe themselves to staff and peers and measure progress.
  
B) Linguistic anthropology explains how language makes culture and social life, from evolution to everyday practice, using ethnography to show speech shaping identity, authority, and resistance.
  
C) The central task of the field is documenting endangered languages, such as Wauja speech genres, to preserve traditions, maintain identity, and prevent marginalization.
  
D) The discipline primarily traces language’s evolutionary origins and cognitive benefits, giving brief attention to culture while downplaying how speech operates in power, identity, and resistance.","Q5: B) Linguistic anthropology explains how language makes culture and social life, from evolution to everyday practice, using ethnography to show speech shaping identity, authority, and resistance."
